,date,content,retweetCount,coordinates
43,2014-12-03 19:42:32+00:00,TONIGHT X MAMA  #me  #myself  #withmama #hoteldeville  #soireedassociations #magnifique  #art #gallery… http://t.co/irnMkBfxHa,0,"{'longitude': 2.352222, 'latitude': 48.856389}"
44,2014-11-05 17:53:38+00:00,"Hôtel de Ville, pour la 9ème édition du Festival du Cinéma Chinois de Paris, magnifique!Pas de vestiaire parcontre;-) http://t.co/iQ7nhHDgcS",0,"{'longitude': 2.3533866, 'latitude': 48.85632285}"
45,2014-10-18 15:59:18+00:00,#Magnifique #HotelDeVille #UneAméricaineàParis #Beautiful #Jadore #Paris #JeSuisAmoureuse ❤️🇫🇷❤️🇺🇸… http://t.co/2EHsONZ8IY,0,"{'longitude': 2.35222222, 'latitude': 48.85638889}"
46,2014-09-09 10:48:12+00:00,"Magnifique #tousrestaurant @ Hôtel de Ville, Paris http://t.co/cPSImKcEeR",0,"{'longitude': 2.35222222, 'latitude': 48.85638889}"
47,2013-11-28 14:32:59+00:00,Il fait toujours beau a Paris grâce a toute ces parisienne magnifique ..,0,"{'longitude': 2.35222238, 'latitude': 48.85725867}"
48,2013-09-15 16:28:23+00:00,Journées du patrimoine #Paris Hôtel de Ville Magnifique !,0,"{'longitude': 2.35332469, 'latitude': 48.85681896}"
49,2013-08-29 19:56:00+00:00,Le peuple vert...et Nice qui devait inauguré son magnifique nouveau stade avec la coupe d'Europe..,0,"{'longitude': 2.352222, 'latitude': 48.856614}"
50,2013-08-06 21:25:22+00:00,"Nan, vous avez Belfodil, le magnifique  RT @araaz_coutinho: Cette nuit on se fait rincer par la Juve :((((((( #Inter",0,"{'longitude': 2.352222, 'latitude': 48.856614}"
51,2013-07-09 20:59:05+00:00,Magnifique !,0,"{'longitude': 2.352222, 'latitude': 48.856614}"
52,2013-07-01 05:29:54+00:00,Un soleil magnifique + une ville de rêve que j'adore + une jeune photographe bourrée de talent = un… http://t.co/IeKemVYNVU,2,"{'longitude': 2.35206127, 'latitude': 48.85644228}"
53,2013-06-15 16:31:11+00:00,"L'incomparable, le classique et magnifique #smocking #YvesSaintLaurent @ Hôtel de Ville de Paris http://t.co/4AiadpZfLm",0,"{'longitude': 2.35242605, 'latitude': 48.85647052}"
54,2013-06-11 02:39:25+00:00,"Le rythme de la conf de SONY n'est peut-être pas ouf, mais le contenu, est magnifique",1,"{'longitude': 2.352222, 'latitude': 48.856614}"
55,2013-05-12 13:51:01+00:00,Magnifique !,0,"{'longitude': 2.352222, 'latitude': 48.856614}"
56,2013-04-23 16:25:29+00:00,"Quand t'es neutre pour des matchs comme ça, c'est souvent magnifique. Le Bayern part confiant, mais le Barça peut te biflé n'importe qui.",0,"{'longitude': 2.352222, 'latitude': 48.856614}"
57,2013-04-06 13:16:05+00:00,C'est magnifique Southampton,0,"{'longitude': 2.352222, 'latitude': 48.856614}"
58,2013-03-20 12:24:26+00:00,Visite de l'exposition : allez s'y car c'est magnifique ! (@ Exposition Paris Haute Couture) http://t.co/2wrGypEpXX,0,"{'longitude': 2.35342417, 'latitude': 48.85641487}"
59,2012-12-10 22:23:15+00:00,"FRANCE / TCHAD: Procès de l'Arche de Zoé: «Une mission magnifique» qui se termine en «gâchis épouvantable» http://t.co/Nkh8imhu
 via @RFI",0,"{'longitude': 2.352222, 'latitude': 48.856614}"
60,2012-12-10 22:23:13+00:00,"FRANCE / TCHAD: Procès de l'Arche de Zoé: «Une mission magnifique» qui se termine en «gâchis épouvantable» http://t.co/U0FU1YPp
 via @RFI",0,"{'longitude': 2.352222, 'latitude': 48.856614}"
61,2012-10-21 13:45:59+00:00,"Le match commence avec un hommage magnifique, et fini en bagarre.",0,"{'longitude': 2.352222, 'latitude': 48.856614}"
62,2012-10-08 11:48:56+00:00,@_sobyaa95 il fait une saison magnifique avec niang,0,"{'longitude': 2.352222, 'latitude': 48.856614}"
63,2012-09-16 21:09:04+00:00,très magnifique (@ Paris w/ 4 others) [pic]: http://t.co/eP4CIpM,0,"{'longitude': 2.35231876, 'latitude': 48.85678111}"
64,2012-08-23 19:51:15+00:00,Ce soir premier épisode de la nouvelle saison de cette série magnifique qu'est le clasico,0,"{'longitude': 2.352222, 'latitude': 48.856614}"
65,2012-08-14 12:13:37+00:00,"Le doc ""PARC"" il est magnifique et touchant, j’espère qu'aucun autre club vivra ça, après je suis pas d'accord avec tout..(un supp de l'OM)",0,"{'longitude': 2.352222, 'latitude': 48.856614}"
66,2012-08-12 22:52:22+00:00,"Magnifique, cette mise en scène de la flamme. Le meilleur moment de la cérémonie de clôture des JO (avec Seu Jorge). http://t.co/sFj3Cq2M",0,"{'longitude': 2.35154629, 'latitude': 48.85673876}"
67,2012-08-12 08:31:45+00:00,"Pour l'instant le + beau but c'est celui d'Obraniak, magnifique construction et la finition j'en parle même pas ! #Ligue1",0,"{'longitude': 2.352222, 'latitude': 48.856614}"
68,2012-08-07 20:21:38+00:00,"Médaille d'OR pour Taoufik Makhloufi je suis comme un fou là, il leurs a mis 30m ! Magnifique ! #TeamDZ",1,"{'longitude': 2.352222, 'latitude': 48.856614}"
69,2012-08-07 20:20:44+00:00,Taoufik Makhloufi en OR ! Magnifique ! #JO2012 #1500m #TeamDZ  Exceptionnel course !,0,"{'longitude': 2.352222, 'latitude': 48.856614}"
70,2012-07-17 19:32:32+00:00,"Monstres &amp; Cie 2 on savait ! Mais le Monde de Nemo 2 et un Toy Story 4, c'est MAGNIFIQUE tout ça ! #Pixar",0,"{'longitude': 2.352222, 'latitude': 48.856614}"
71,2012-07-15 20:24:23+00:00,"Les rebelles du foot c'était juste MAGNIFIQUE, un dés meilleures truc que j'ai vu récemment à la télé. Chapeau.",0,"{'longitude': 2.352222, 'latitude': 48.856614}"
72,2012-07-12 16:10:07+00:00,"Ce soir sur Canal, il y a un match entre Le Havre et Lille pour l'inauguration du nouveau stade (magnifique) du Havre.",0,"{'longitude': 2.352222, 'latitude': 48.856614}"
73,2012-06-16 16:49:45+00:00,"J'ai pas encore vu une seul personne de ma TL retweet, Valérire Viewteller et ça ça prouve qu'ils sont magnifique ! #keur",0,"{'longitude': 2.352222, 'latitude': 48.856614}"
74,2012-06-15 21:00:38+00:00,"Welbeck la Madjer du pauvre. Il l'a rate un peu, mais magnifique.",0,"{'longitude': 2.352222, 'latitude': 48.856614}"
75,2012-05-12 09:47:38+00:00,Lévis - Un magnifique ballet dans les rues de Séoul http://t.co/yxJgooq1,0,"{'longitude': 2.352222, 'latitude': 48.856614}"
76,2012-04-28 14:04:25+00:00,"Magnifique &lt;3 (@ Exposition ""Doisneau"") http://t.co/9k5ssxLc",0,"{'longitude': 2.35258098, 'latitude': 48.85729691}"
77,2012-04-11 20:07:22+00:00,Smart Argentina crée un magnifique flipbook sur twitter http://t.co/9SDbndsB,0,"{'longitude': 2.352222, 'latitude': 48.856614}"
78,2011-10-06 18:58:32+00:00,Magnifique Live Lighting par l'asso du @RubanRose  @ Hôtel de Ville de Paris http://t.co/7J7YrGFn,0,"{'longitude': 2.35211492, 'latitude': 48.85649875}"
0,2022-02-21 17:07:13+00:00,"Je me suis entretenu avec Jean-Paul Guihaumé, nouveau Délégué à l'action extérieure des collectivités territoriales de @francediplo, sur la #coopération et #solidarité de la Ville de @Paris à l'#international et nos priorités communes : #jeunesse, #sport et égalité femme-homme.🤝 https://t.co/rC0oogNPBJ",1,"{'longitude': 2.352372407913208, 'latitude': 48.85647757431556}"
1,2021-11-24 18:30:20+00:00,"Le jury FLUCTUAT s'est ainsi réuni heureusement en salle JEANNE LALOË , du nom de la première femme candidate aux élections municipales de Paris en 1908 cc @DorineBregman 👏👏 https://t.co/UmX1wgJbfi",0,"{'longitude': 2.352372407913208, 'latitude': 48.85647757431556}"
2,2021-07-01 11:14:10+00:00,"L'égalité femme-homme et la lutte contre les violences aux femmes sont au cœur de l'engagement politique d'@Anne_Hidalgo. La Ville de @Paris coopérera avec @nadgasman, présidente de l'@inmujeres du #Mexique 🇲🇽 sur les sujets liés à la santé, l'éducation, prévention des violences. https://t.co/UbO3EfmGpK",16,"{'longitude': 2.352372407913208, 'latitude': 48.85647757431556}"
3,2021-05-28 08:39:36+00:00,"C’est l’histoire d’une femme française « Simone a refusé la tentation de la désespérance dans l’être humain et choisi de toutes ses forces la vie » #merciSimone #AvancerSansOublier #heureusecommeunejuiveenFrance  ne croyez pas au désespoir, il ne tient pas ses promesses 🇫🇷 Mensch https://t.co/5zeX1DMhtV",4,"{'longitude': 2.352372407913208, 'latitude': 48.85647757431556}"
4,2020-03-08 22:27:35+00:00,L’#endometriose un sujet dont on ne parle pas assez. Il touche pourtant 1 femme sur dix en âge de procréer. Ce soir une table ronde était organisée autour du sujet @InformationEndo @EnoraMofficiel @EliseThiebaut https://t.co/ueJnISpU8v,1,"{'longitude': 2.352372407913208, 'latitude': 48.85647757431556}"
5,2019-05-04 09:09:48+00:00,"Au travail ! 🇪🇺 
3e assemblée plénière du #ConseilParisiendesEuropéens ouverte par @Anne_Hidalgo et @hermanosanches. On discute de #égalité femme-homme, #changementclimatique, #citoyenneté, #intégration avec les représentants des 28 pays membres 🇪🇺 @ProjetInclude 
#europe https://t.co/sbarVzqQE3",6,"{'longitude': 2.3522799, 'latitude': 48.8569984}"
6,2019-04-17 11:57:06+00:00,"J’ai été détruite par un homme comme toi. Alors, j’ai remplacé sa reine. Une vieille femme. Et j’étais destinée à être remplacée à nouveau, puisque les hommes utilisent les femmes. 
Ils… https://t.co/QXGSLlNIfm",0,"{'longitude': 2.352222, 'latitude': 48.856389}"
7,2017-02-25 06:31:25+00:00,"@Ea_zilch IAM with La Femme, Lana Del Rey, alt-J, and 1 more… at @francegalop (Jul 23, 2017) https://t.co/ROA1nrpWPd https://t.co/0C1mIZoBMV",1,"{'longitude': 2.3522219, 'latitude': 48.856614}"
8,2017-02-25 06:31:17+00:00,"@fiftytwobook IAM with La Femme, Lana Del Rey, alt-J, and 1 more… at @francegalop (Jul 23, 2017) https://t.co/ROA1nrpWPd https://t.co/ZQmMyC7p5v",0,"{'longitude': 2.3522219, 'latitude': 48.856614}"
9,2017-02-25 06:30:48+00:00,"@smudie IAM with La Femme, Lana Del Rey, alt-J, and 1 more… at @francegalop (Jul 23, 2017) https://t.co/ROA1nrpWPd https://t.co/nhml0MN9Qf",0,"{'longitude': 2.3522219, 'latitude': 48.856614}"
10,2017-02-25 06:30:24+00:00,"@iamclacky IAM with La Femme, Lana Del Rey, alt-J, and 1 more… at @francegalop (Jul 23, 2017) https://t.co/ROA1nrpWPd https://t.co/zLm82eeTB7",0,"{'longitude': 2.3522219, 'latitude': 48.856614}"
11,2017-02-25 06:30:06+00:00,"@phpeach IAM with La Femme, Lana Del Rey, alt-J, and 1 more… at @francegalop (Jul 23, 2017) https://t.co/ROA1nrpWPd https://t.co/XSPVIGomcz",0,"{'longitude': 2.3522219, 'latitude': 48.856614}"
12,2016-11-29 21:08:57+00:00,".@EstelleMossely Femme d'exploit avec lvmh ""Une année en Or"" #FEO16 @ Salle Des Fetes Hotel De… https://t.co/UlfnIuRAEa",0,"{'longitude': 2.35336257, 'latitude': 48.85625403}"
13,2015-08-03 16:31:22+00:00,"Une femme en couverture de Fifa 16 ? Oui, mais pas chez nous. / https://t.co/4bPye0wYoi http://t.co/7i84qVdiMS",0,"{'longitude': 2.352222, 'latitude': 48.856614}"
14,2014-07-18 21:50:42+00:00,"LA FEMME #fnaclive @ Hôtel de Ville, Paris http://t.co/XtAF4kGlSX",0,"{'longitude': 2.35222222, 'latitude': 48.85638889}"
15,2014-07-18 17:20:32+00:00,"La Femme sous le soleil 💕😍☀️ #lafemme #fnaclive @ Hôtel de Ville, Paris http://t.co/d4p6LbPlOx",0,"{'longitude': 2.35222222, 'latitude': 48.85638889}"
16,2014-06-11 17:31:51+00:00,"Ce soir de 20h à minuit, soirée VIP au BHV Homme wouhou! ...pendant que d'autres bossent à la femme! Rahlala.",0,"{'longitude': 2.3529697, 'latitude': 48.8570743}"
17,2014-06-01 19:16:47+00:00,Femme fatale. @ Eiffel Tower Paris France http://t.co/ttaRllsUzn,0,"{'longitude': 2.35142036, 'latitude': 48.85676368}"
18,2014-03-30 18:53:25+00:00,Une femme prendra la parole du haut de cette estrade... Mais laquelle ? #Municipales2014 #Paris2014 http://t.co/1m6ZUo2hTg,0,"{'longitude': 2.35333367, 'latitude': 48.85618451}"
19,2013-11-01 23:31:32+00:00,"RT @vinehumor: Come on now... http://t.co/mpxm8JIYD0 

""Ma femme aura de la cherma"" #YoucefVoice",0,"{'longitude': 2.352222, 'latitude': 48.856614}"
20,2013-10-20 18:44:02+00:00,"On a compris pour la femme de booba, bande de fragiles.",0,"{'longitude': 2.352222, 'latitude': 48.856614}"
21,2013-10-16 21:41:16+00:00,"""Que feriez vous si vous étiez une femme ?""",0,"{'longitude': 2.352222, 'latitude': 48.856614}"
22,2013-09-26 16:49:04+00:00,@templedumarais c'est la grde forme Gilles ;)))) ma femme le trouve petit ;),0,"{'longitude': 2.35336356, 'latitude': 48.8562243}"
23,2013-08-13 15:28:21+00:00,"@xxnitro93xx Et si, c'est une femme renoi ?  :((",0,"{'longitude': 2.352222, 'latitude': 48.856614}"
24,2013-08-05 03:52:52+00:00,"Les FDP qui marquent, puis jouent dans leurs surface le reste du match. Incha'Allah votre futur femme se fait lévio dans une cave, salement.",0,"{'longitude': 2.352222, 'latitude': 48.856614}"
25,2013-07-31 23:44:36+00:00,Une femme en VANS &gt;&gt;&gt; Une femme en louboutins #TweetCommeUnGarsFauchéMaisQuiARaison,0,"{'longitude': 2.352222, 'latitude': 48.856614}"
26,2013-07-22 02:18:35+00:00,"Karim , Karima. Nabil, Nabila, Yassine, Yasmine. Il y a une version ""femme"" pour Billel ?",0,"{'longitude': 2.352222, 'latitude': 48.856614}"
27,2013-06-08 13:27:51+00:00,Je suis pour la femme. Allez Sharapova. #RG,2,"{'longitude': 2.352222, 'latitude': 48.856614}"
28,2013-04-16 20:20:18+00:00,"Dans leurs têtes, une fille gentil et drôle, c'est forcément une femme ""flinguée"", c'est sûr, ils sont fragiles, ils on souffert.",0,"{'longitude': 2.352222, 'latitude': 48.856614}"
29,2013-04-08 13:36:15+00:00,Femme qui rit...,0,"{'longitude': 2.352222, 'latitude': 48.856614}"
30,2013-04-07 17:42:01+00:00,"Même si le parasite est une femme, je reste dessus !",0,"{'longitude': 2.352222, 'latitude': 48.856614}"
31,2013-04-06 22:35:28+00:00,Viens en DM femme. RT @_Domitille: En fait c'est salé le sperme ! C'est trop coule haaaan,0,"{'longitude': 2.352222, 'latitude': 48.856614}"
32,2013-04-06 12:18:02+00:00,RT @linasyriia: Les #Femen sont le meilleur exemple de soumission de la femme #InstrumentDeSociété #EllesOntRienCompris,0,"{'longitude': 2.352222, 'latitude': 48.856614}"
33,2013-04-02 22:34:46+00:00,"Quand j'écris ""Chatte"" moi c'est pour l'animale pas pour la FEMME, bande de dixa, je suis un gentleman, moi. *siffle*",0,"{'longitude': 2.352222, 'latitude': 48.856614}"
34,2013-04-02 22:15:59+00:00,"""C'est un jeux"" L'argument Roi du libertin, jeux ou pas, tu vois ta femme se faire poutré sous tes yeux.",0,"{'longitude': 2.352222, 'latitude': 48.856614}"
35,2013-03-12 20:01:01+00:00,"L'amour, le vrai. RT @lesnews: France - Un octogénaire tue sa femme malade de deux balles dans la tête et se suicide /agence",0,"{'longitude': 2.352222, 'latitude': 48.856614}"
36,2013-01-30 23:25:36+00:00,"Destin de femmes... [5]: La femme ! C'est un être fragile, qui se casse facilement et qui n'aime pas se battre. ... http://t.co/wneAWdVI",0,"{'longitude': 2.3522219, 'latitude': 48.856614}"
37,2012-11-26 20:20:19+00:00,"#nowwatching Profumo di donna / Parfum de femme (1974)
http://t.co/2HsPF8C2 @ Paris http://t.co/vZwqeofB",0,"{'longitude': 2.35231876, 'latitude': 48.85678111}"
38,2012-10-28 06:52:28+00:00,"RFI: SANTé / CIGARETTE: En s'arrêtant de fumer avant 40 ans, une femme peut gagner 10 ans de vie supplémentaire http://t.co/Vwbzf4Ls",0,"{'longitude': 2.352222, 'latitude': 48.856614}"
39,2012-09-07 23:53:24+00:00,"Sexe, drogue et rock &amp; roll...: Aujourd'hui c'est une mixture musicale composé d'une grosse dose de femme(s), de... http://t.co/2KaTclVk",0,"{'longitude': 2.3522219, 'latitude': 48.856614}"
40,2012-08-07 02:26:27+00:00,Ptdr super la mentalité. RT @katsyarodriguez: Une femme pas sexy &lt;&lt;&lt;&lt;&lt;&lt;&lt;&lt;&lt;,0,"{'longitude': 2.352222, 'latitude': 48.856614}"
41,2012-08-03 21:16:22+00:00,La ferme petite femme.,0,"{'longitude': 2.352222, 'latitude': 48.856614}"
42,2012-07-28 00:45:34+00:00,Déjà il est dépendant de sa femme et en plus il l'insulte normal.,0,"{'longitude': 2.352222, 'latitude': 48.856614}"
43,2012-07-25 18:25:05+00:00,Alex Morgan c'est un peu la femme parfaite. #USAFRA,0,"{'longitude': 2.352222, 'latitude': 48.856614}"
44,2012-07-15 21:12:49+00:00,"C'est quoi le titre de la musique ou meme dans le clip, c'est une femme qui danse pour un casting ? #help",0,"{'longitude': 2.352222, 'latitude': 48.856614}"
45,2012-07-06 14:33:28+00:00,La femme de Hugo Lloris elle est douce.,0,"{'longitude': 2.352222, 'latitude': 48.856614}"
46,2012-06-15 15:32:31+00:00,"Une belle femme qui veut faire de la chirurgie esthétique, c'est comme si tu customisé une Ferrari, ça sert a rien.",0,"{'longitude': 2.352222, 'latitude': 48.856614}"
47,2012-01-26 09:34:23+00:00,Nouvelle note sur mon blog : Montre Dolce Gabbana femme moins chère livraison france dom tom europe usa http://t.co/YJNTPLUe,0,"{'longitude': 2.352222, 'latitude': 48.856614}"
48,2012-01-07 14:55:36+00:00,Gruger la file de l'expo sempé avec une femme enceinte #cheatcode,0,"{'longitude': 2.35334242, 'latitude': 48.85619914}"
0,2016-04-23 20:19:21+00:00,@montesroldanmo Paris is an adorable city. Today's temp is 7.5°C (45.5°F). #guide Some guides for Paris: https://t.co/fNFufGPBEy,0,"{'longitude': 2.3522219, 'latitude': 48.856614}"
1,2016-04-20 19:19:28+00:00,"@FragosoMiaou @airfrance Paris, adorable! Today it's clear with 15.2°C (59.4°F). #tip Some guides for Paris https://t.co/fNFufGPBEy",0,"{'longitude': 2.3522219, 'latitude': 48.856614}"
2,2016-04-08 07:19:37+00:00,"@insidr_paris @PSYCHICB00TY @xNARlC0 Paris, such an adorable place! #tip Some guides to explore: https://t.co/fNFufGPBEy",1,"{'longitude': 2.3522219, 'latitude': 48.856614}"
3,2016-03-23 14:57:23+00:00,@ArchDigest Paris is an adorable metropolis. Today's temp is 12.4°C (54.3°F). #explore Some guides for Paris: https://t.co/fNFufGPBEy,0,"{'longitude': 2.3522219, 'latitude': 48.856614}"
4,2016-03-12 17:19:23+00:00,"@wincomparatorUK @ChelseaFC Paris, such an adorable city! #travel Some guides to explore: https://t.co/fNFufGPBEy",0,"{'longitude': 2.3522219, 'latitude': 48.856614}"
5,2016-02-26 15:38:22+00:00,"@_houseandgarden Paris is totally adorable, currently partly cloudy. This are some guides to check out: https://t.co/fNFufGPBEy",0,"{'longitude': 2.3522219, 'latitude': 48.856614}"
6,2016-02-19 11:38:30+00:00,"@Cyclepsychotic Paris, adorable! Today it's clear with 5.7°C (42.2°F). #guide Some guides for Paris https://t.co/fNFufH7cw6",0,"{'longitude': 2.3522219, 'latitude': 48.856614}"
7,2016-01-29 19:57:24+00:00,@heikkilaht @gcntweet Paris is an adorable location. Some guides for Paris #trip https://t.co/fNFufGPBEy,0,"{'longitude': 2.3522219, 'latitude': 48.856614}"
8,2016-01-11 20:57:22+00:00,@LaceyTwpTravel @aboutdotcom Paris is utterly adorable. #explore Check these out: https://t.co/fNFufGPBEy,0,"{'longitude': 2.3522219, 'latitude': 48.856614}"
9,2016-01-05 16:19:22+00:00,"@AndreaIyamah @TravelNoire Paris is totally adorable, currently partly cloudy. This are some guides to check out: https://t.co/fNFufGPBEy",0,"{'longitude': 2.3522219, 'latitude': 48.856614}"
10,2015-12-10 06:57:21+00:00,@lotzofjoy Paris is an adorable destination. Today's temp is 1.7°C (35°F). #trip Some guides for Paris: https://t.co/fNFufGPBEy,0,"{'longitude': 2.3522219, 'latitude': 48.856614}"
11,2015-11-05 13:19:22+00:00,"@Roomforromance @luxury__travel Paris, such an adorable city! #tip Some guides to explore: https://t.co/fNFufGPBEy",1,"{'longitude': 2.3522219, 'latitude': 48.856614}"
12,2015-10-27 21:19:20+00:00,"@Kennyf1283 Paris, adorable! Today it's drizzle with 13.1°C (55.7°F). #guide Some guides for Paris https://t.co/fNFufGPBEy",0,"{'longitude': 2.3522219, 'latitude': 48.856614}"
13,2015-10-19 10:57:22+00:00,"@gimenezpausidio Paris is totally adorable, currently mostly cloudy. This are some guides to check out: http://t.co/fNFufGPBEy",0,"{'longitude': 2.3522219, 'latitude': 48.856614}"
14,2015-10-18 13:57:22+00:00,"@GoldenGateTrail Paris is absolutely adorable, currently mostly cloudy. This are some guides to check out: http://t.co/fNFufGPBEy",0,"{'longitude': 2.3522219, 'latitude': 48.856614}"
15,2015-09-26 18:19:23+00:00,@jolie311 Paris is an adorable metropolis. Today's temp is 14.6°C (58.2°F). #travel Some guides for Paris: http://t.co/fNFufGPBEy,2,"{'longitude': 2.3522219, 'latitude': 48.856614}"
16,2015-09-25 14:57:21+00:00,"@princess_crownn Paris, adorable! Today it's clear with 18.5°C (65.3°F). #trip Some guides for Paris http://t.co/fNFufGPBEy",0,"{'longitude': 2.3522219, 'latitude': 48.856614}"
17,2015-09-11 21:19:25+00:00,@Two_Drifters_ @adventurouskate Paris is perfectly adorable. #trip Check these out: http://t.co/fNFufH7cw6,0,"{'longitude': 2.3522219, 'latitude': 48.856614}"
18,2015-08-27 08:19:21+00:00,"@ParisJeTaime @Bonjour_Paris Paris is simply adorable, currently rain. This are some guides to check out: http://t.co/fNFufGPBEy",0,"{'longitude': 2.3522219, 'latitude': 48.856614}"
19,2015-08-18 00:38:24+00:00,@genConnect @PaulEisenberg @Barclaycard Paris is an adorable location. Some guides for Paris #explore http://t.co/fNFufGPBEy,1,"{'longitude': 2.3522219, 'latitude': 48.856614}"
20,2015-08-14 08:19:23+00:00,"@ClothAndCandy @SeasonsInColour Paris, such an adorable destination! #guide Some guides to explore: http://t.co/fNFufGPBEy",0,"{'longitude': 2.3522219, 'latitude': 48.856614}"
21,2015-08-11 08:19:21+00:00,"@MyTravelLuck Paris, adorable! Today it's overcast with 22.6°C (72.7°F). #explore Some guides for Paris http://t.co/fNFufGPBEy",0,"{'longitude': 2.3522219, 'latitude': 48.856614}"
22,2015-07-23 16:38:22+00:00,"@gobaith Paris, adorable! Today it's clear with 24.7°C (76.5°F). #guide Some guides for Paris http://t.co/fNFufGPBEy",0,"{'longitude': 2.3522219, 'latitude': 48.856614}"
23,2015-07-22 11:38:19+00:00,@1Dad1Kid Paris is an adorable destination. Today's temp is 26°C (78.9°F). #explore Some guides for Paris: http://t.co/fNFufGPBEy,0,"{'longitude': 2.3522219, 'latitude': 48.856614}"
24,2015-07-19 17:38:21+00:00,"@onedavebamber Paris is absolutely adorable, currently overcast. This are some guides to check out: http://t.co/fNFufGPBEy",0,"{'longitude': 2.3522219, 'latitude': 48.856614}"
25,2015-07-02 01:19:27+00:00,@SomanChainani Paris is an adorable metropolis. Today's temp is 25.9°C (78.6°F). #tip Some guides for Paris: http://t.co/fNFufGPBEy,0,"{'longitude': 2.3522219, 'latitude': 48.856614}"
26,2015-06-20 14:57:23+00:00,@lanternerouge @SkratchLabs Paris is just adorable. #guide Check these out: http://t.co/fNFufGPBEy,0,"{'longitude': 2.3522219, 'latitude': 48.856614}"
27,2015-06-15 08:38:21+00:00,"@GettingStamped Paris, adorable! Today it's mostly cloudy with 18.7°C (65.7°F). #travel Some guides for Paris http://t.co/fNFufGPBEy",0,"{'longitude': 2.3522219, 'latitude': 48.856614}"
28,2015-05-25 20:19:21+00:00,@sarahjane_5sos @ZozeeBo Paris is just adorable. #explore Check these out: http://t.co/fNFufGPBEy,0,"{'longitude': 2.3522219, 'latitude': 48.856614}"
29,2015-05-16 07:57:26+00:00,"@GRLFRNDS Paris, adorable! Today it's mostly cloudy with 13.2°C (55.8°F). #guide Some guides for Paris http://t.co/fNFufH7cw6",0,"{'longitude': 2.3522219, 'latitude': 48.856614}"
30,2015-05-15 14:19:21+00:00,@IDAlifestyle Paris is an adorable place. Today's temp is 17.6°C (63.7°F). #trip Some guides for Paris: http://t.co/fNFufGPBEy,0,"{'longitude': 2.3522219, 'latitude': 48.856614}"
31,2015-05-12 17:57:23+00:00,"@gfglobetrotter Paris is utterly adorable, currently partly cloudy. This are some guides to check out: http://t.co/fNFufGPBEy",0,"{'longitude': 2.3522219, 'latitude': 48.856614}"
32,2015-04-16 19:19:25+00:00,"@TanisGrandison Paris is utterly adorable, currently overcast. This are some guides to check out: http://t.co/fNFufGPBEy",0,"{'longitude': 2.3522219, 'latitude': 48.856614}"
33,2015-04-08 14:15:44+00:00,@realmandyrain 😉 👑 adorable,0,"{'longitude': 2.3522218, 'latitude': 48.8569531}"
34,2015-04-08 14:13:20+00:00,@CassidyRaeWilso adorable,0,"{'longitude': 2.3522218, 'latitude': 48.8569531}"
35,2015-03-30 13:57:20+00:00,"@imissjane @Laxtitia Paris is totally adorable, currently mostly cloudy. This are some guides to check out: http://t.co/fNFufGPBEy",0,"{'longitude': 2.3522219, 'latitude': 48.856614}"
36,2015-03-13 03:19:19+00:00,"@BethS_xxx Paris is absolutely adorable, currently partly cloudy. This are some guides to check out: http://t.co/fNFufGPBEy",0,"{'longitude': 2.3522219, 'latitude': 48.856614}"
37,2015-03-10 19:19:20+00:00,"@JenniferMcMaho7 @JohnBishop100 Paris, adorable! Today it's  with 0°C (32°F). #tip Some guides for Paris http://t.co/fNFufGPBEy",0,"{'longitude': 2.3522219, 'latitude': 48.856614}"
38,2015-02-04 12:57:22+00:00,@CaitlinKellyNYC Paris is an adorable place. Today's temp is 4.5°C (40.1°F). #travel Some guides for Paris: http://t.co/fNFufGPBEy,0,"{'longitude': 2.3522219, 'latitude': 48.856614}"
39,2015-01-30 17:38:21+00:00,"@CiaoBambino Paris, adorable! Today it's partly cloudy with 3.8°C (38.9°F). #tip Some guides for Paris http://t.co/kfarfgohFo",0,"{'longitude': 2.3522219, 'latitude': 48.856614}"
40,2015-01-27 18:57:21+00:00,"@thejetsetduo Paris, adorable! Today it's clear with 5.7°C (42.3°F). #travel Some guides for Paris http://t.co/kfarfgohFo",0,"{'longitude': 2.3522219, 'latitude': 48.856614}"
41,2014-12-30 15:19:21+00:00,"@tripalong @lonelyplanet Paris, adorable! Today it's mostly cloudy with 3.9°C (39°F). #tip Some guides for Paris http://t.co/kfarfgohFo",0,"{'longitude': 2.3522219, 'latitude': 48.856614}"
42,2014-12-15 19:19:20+00:00,@Ahomemadelifenl Paris is utterly adorable. #explore Check these out: http://t.co/kfarfgohFo,0,"{'longitude': 2.3522219, 'latitude': 48.856614}"
43,2014-10-22 18:57:16+00:00,"@bonnie_carleton Paris is totally adorable, currently mostly cloudy. This are some guides to check out: http://t.co/SyxypghKuC",0,"{'longitude': 2.3522219, 'latitude': 48.856614}"
44,2014-05-24 18:45:09+00:00,Came across this adorable merry-go-round while getting lost in #Paris yesterday! #travel #France @… http://t.co/toODOZWSwP,0,"{'longitude': 2.35164434, 'latitude': 48.85709658}"
45,2014-01-18 12:49:14+00:00,Adorable,0,"{'longitude': 2.35201081, 'latitude': 48.85731258}"
46,2013-11-04 22:34:52+00:00,Good night world. Good night followers. #my #adorable #cat #lili #good #night #paris #love #my… http://t.co/kMsUS7mdVN,1,"{'longitude': 2.35206127, 'latitude': 48.85644228}"
